Sensed Time: 2024-01-22 10:24:45, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:59, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:00, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:01, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:02, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:03, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:04, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:05, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:06, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:07, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:08, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:09, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:10, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:11, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:12, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:13, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:14, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:15, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:16, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:17, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:18, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:19, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:20, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:21, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:22, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:23, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:24, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:25, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:26, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:27, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:28, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:29, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:30, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:31, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:32, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:33, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:34, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:35, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:36, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:37, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:38, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:39, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:40, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:41, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:42, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:43, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:44, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:45, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:46, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:47, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:48, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:49, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:50, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:51, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:52, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:53, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:54, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:55, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:56, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:57, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:58, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:26:59, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:00, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:01, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:02, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:03, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:04, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:05, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:06, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:07, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:08, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:09, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:10, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:11, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:12, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:13, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:14, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:15, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:16, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:17, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:18, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:19, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:20, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:21, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:27:22, Humidity: 41.00, Temperature: 20.00
